postid,DateTime,timestamp,username,entity_type,PostLevel,stcode11,dtcode11,post_description,feed_pictures,feed_video,feed_news,feed_documents,experience_rating,priority,tot_agreed,tot_disagreed,Language,lat,lng,pinned,tot_comments,entity_name,entity_id,uid,profile_picture,stname,dtname,Title,tsv,post_description_en,categories
1544163931994330640,,1604055808000,Jaano Solapur,0,District,27,526,"#COVID19 report of #Solapur city. @MahaDGIPR @InfoDivPune @InfoDivKolhapur @MantralayaRoom 
(Posted on Twitter by @Info_Solapur)","{https://pbs.twimg.com/media/ElkoA6CX0AAcxG5.jpg,https://pbs.twimg.com/media/ElkoB6fWMAIGH9U.jpg,https://pbs.twimg.com/media/ElkoCxRWMAA3gZ-.jpg}",,,,-1,,0,0,en,,,,,,,,,MAHARASHTRA,Solapur,,"'by':13A 'city':5A 'covid19':1A 'info':14A 'infodivkolhapur':8A 'infodivpune':7A 'jaano':16C 'mahadgipr':6A 'mantralayaroom':9A 'of':3A 'on':11A 'posted':10A 'report':2A 'solapur':4A,15A,17C 'twitter':12A","#COVID19 report of #Solapur city. @MahaDGIPR @InfoDivPune @InfoDivKolhapur @MantralayaRoom 
(Posted on Twitter by @Info_Solapur)","Journalist, Writing And Translation"
3408389718808877113,,1604055583000,Jaano Rampur,0,District,9,136,"📚 दास्तान-ए-रज़ा लाइब्रेरी 📚
 
PAGE 17

खगोलीय उपकरण

#RampurRazaLibrary
#RazaLibraryStory 
(Posted on Twitter by @DeoRampur)",{https://pbs.twimg.com/media/ElknCDaUcAAKtCg.jpg},,,,-1,,0,0,en,,,,,,,,,UTTAR PRADESH,Rampur,,'17':7A 'by':15A 'deorampur':16A 'jaano':17C 'on':13A 'page':6A 'posted':12A 'rampur':18C 'rampurrazalibrary':10A 'razalibrarystory':11A 'twitter':14A 'उपकरण':9A 'ए':3A 'खगोलीय':8A 'दास्तान':2A 'दास्तान-ए-रज़ा':1A 'रज़ा':4A 'लाइब्रेरी':5A,"📚 Dastan-e-Raza Library 📚
 
PAGE 17

Astronomical instruments

#RampurRazaLibrary
#RazaLibraryStory
(Posted on Twitter by @DeoRampur)",Social Service
661000084184309711,,1604054641000,Jaano Tiruppur,0,District,33,633,"Job seekers Register now at https://t.co/dEr9RDaUE5  for employment #Tiruppur 
(Posted on Twitter by @TPRDtCollector)",{},https://video.twimg.com/ext_tw_video/1322126725157777408/pu/vid/480x848/gn4SeX-qUhuxpMop.mp4?tag=10,,,-1,,0,0,en,,,,,,,,,TAMIL NADU,Tiruppur,,"'/der9rdaue5':8A 'at':5A 'by':15A 'employment':10A 'for':9A 'jaano':17C 'job':1A 'now':4A 'on':13A 'posted':12A 'register':3A 'seekers':2A 't.co':7A 't.co/der9rdaue5':6A 'tiruppur':11A,18C 'tprdtcollector':16A 'twitter':14A","Job seekers Register now at https://t.co/dEr9RDaUE5  for employment #Tiruppur 
(Posted on Twitter by @TPRDtCollector)","Journalist, Writing And Translation"
2516388414557216096,,1604054614000,Jaano Solapur,0,District,27,526,"#COVID19 report of #Solapur district. @MahaDGIPR @MahaHealthIEC @InfoDivPune @InfoDivKolhapur 
(Posted on Twitter by @Info_Solapur)","{https://pbs.twimg.com/media/ElkjfDXVkAA_ECL.jpg,https://pbs.twimg.com/media/ElkjfSWUcAAyQJl.jpg,https://pbs.twimg.com/media/ElkjfhvVMAAfJuG.jpg,https://pbs.twimg.com/media/Elkjfw8U0AEWlbg.jpg}",,,,-1,,0,0,en,,,,,,,,,MAHARASHTRA,Solapur,,"'by':13A 'covid19':1A 'district':5A 'info':14A 'infodivkolhapur':9A 'infodivpune':8A 'jaano':16C 'mahadgipr':6A 'mahahealthiec':7A 'of':3A 'on':11A 'posted':10A 'report':2A 'solapur':4A,15A,17C 'twitter':12A","# COVID19 report of #Solapur district. @MahaDGIPR @MahaHealthIEC @InfoDivPune @InfoDivKolhapur
(Posted on Twitter by @Info_Solapur)","Journalist, Writing And Translation"
4104929317263254140,,1604053966000,Jaano Uttarakhand,0,State,5,-1,"@15thFinCom headed by Chairman @NKSingh_MP concludes their deliberations on the report for the year 2021-2022 to 2025-2026.

@FinMinIndia
@PIB_India
@nsitharamanoffc 
https://t.co/KSsADdvyLX
(Posted on Twitter by @PIBDehradun)","{https://pbs.twimg.com/media/ElkevpkVkAEPXDN.jpg,https://pbs.twimg.com/media/ElkexRBUcAAjFeg.jpg}",,,,-1,,0,0,en,,,,,,,,,Uttarakhand,,,"'-2022':17A '-2026':20A '/kssaddvylx':27A '15thfincom':1A '2021':16A '2025':19A 'by':3A,31A 'chairman':4A 'concludes':7A 'deliberations':9A 'finminindia':21A 'for':13A 'headed':2A 'india':23A 'jaano':33C 'mp':6A 'nksingh':5A 'nsitharamanoffc':24A 'on':10A,29A 'pib':22A 'pibdehradun':32A 'posted':28A 'report':12A 't.co':26A 't.co/kssaddvylx':25A 'the':11A,14A 'their':8A 'to':18A 'twitter':30A 'uttarakhand':34C 'year':15A","@15thFinCom headed by Chairman @NKSingh_MP concludes their deliberations on the report for the year 2021-2022 to 2025-2026.

@FinMinIndia
@PIB_India
@nsitharamanoffc 
https://t.co/KSsADdvyLX
(Posted on Twitter by @PIBDehradun)",Healthcare And Medicine
4380966234679819143,,1604053935000,Jaano Deoghar,0,District,20,350,"कृषि उत्पादन बाजार समिति का निरीक्षण कर दुकान, गोदाम, सड़क, साफ-सफाई, पेयजल आदि की वस्तुस्थिति का जायजा लिया। इस दौरान मूलभूत सुविधाओं को व्यवस्थित करने के संबंध में किए जाने वाले कार्यों की विस्तृत समीक्षा करते हुए अधिकारियों को आवश्यक व उचित दिशा निर्देश दिया।
@HemantSorenJMM 
(Posted on Twitter by @DCDeoghar)","{https://pbs.twimg.com/media/Elkg3j5U0AA9Scb.jpg,https://pbs.twimg.com/media/Elkg4WYU8AYF4Gp.jpg,https://pbs.twimg.com/media/Elkg46nVMAAn01J.jpg,https://pbs.twimg.com/media/Elkg5eOVoAALaXR.jpg}",,,,-1,,0,0,en,,,,,,,,,JHARKHAND,Deoghar,,"'by':52A 'dcdeoghar':53A 'deoghar':55C 'hemantsorenjmm':48A 'jaano':54C 'on':50A 'posted':49A 'twitter':51A 'अधिकारियों':40A 'आदि':15A 'आवश्यक':42A 'इस':21A 'उचित':44A 'उत्पादन':2A 'कर':7A 'करते':38A 'करने':27A 'का':5A,18A 'कार्यों':34A 'किए':31A 'की':16A,35A 'कृषि':1A 'के':28A 'को':25A,41A 'गोदाम':9A 'जाने':32A 'जायजा':19A 'दिया':47A 'दिशा':45A 'दुकान':8A 'दौरान':22A 'निरीक्षण':6A 'निर्देश':46A 'पेयजल':14A 'बाजार':3A 'मूलभूत':23A 'में':30A 'लिया':20A 'व':43A 'वस्तुस्थिति':17A 'वाले':33A 'विस्तृत':36A 'व्यवस्थित':26A 'संबंध':29A 'सड़क':10A 'सफाई':13A 'समिति':4A 'समीक्षा':37A 'साफ':12A 'साफ-सफाई':11A 'सुविधाओं':24A 'हुए':39A","The Agriculture Produce Market Committee inspected and inspected the condition of the shop, warehouse, road, sanitation, drinking water etc. During this, while reviewing the work to be done in connection with the basic facilities, the officers gave necessary and appropriate guidelines.
@HemantSorenJMM
(Posted on Twitter by @DCDeoghar)","Journalist, Writing And Translation"
1357540481651116602,,1604053863000,Jaano Uttarakhand,0,State,5,-1,"Anti Ship Missile fired by @indiannavy's Guided Missile Corvette INS Kora hits the target at max range with precise accuracy in Bay of Bengal. Target ship severely damaged & in flames.

@DefenceMinIndia
@rajnathsingh
@PIB_India
https://t.co/pZHWuNDLJm
(Posted on Twitter by @PIBDehradun)","{https://pbs.twimg.com/media/ElkfwCvUYAYFpQv.jpg,https://pbs.twimg.com/media/Elkfw5SU4AAnKg5.jpg,https://pbs.twimg.com/media/Elkfx6YU0AAdeql.jpg}",,,,-1,,0,0,en,,,,,,,,,Uttarakhand,,,"'/pzhwundljm':38A 'accuracy':21A 'anti':1A 'at':16A 'bay':23A 'bengal':25A 'by':5A,42A 'corvette':10A 'damaged':29A 'defenceminindia':32A 'fired':4A 'flames':31A 'guided':8A 'hits':13A 'in':22A,30A 'india':35A 'indiannavy':6A 'ins':11A 'jaano':44C 'kora':12A 'max':17A 'missile':3A,9A 'of':24A 'on':40A 'pib':34A 'pibdehradun':43A 'posted':39A 'precise':20A 'rajnathsingh':33A 'range':18A 's':7A 'severely':28A 'ship':2A,27A 't.co':37A 't.co/pzhwundljm':36A 'target':15A,26A 'the':14A 'twitter':41A 'uttarakhand':45C 'with':19A","Anti Ship Missile fired by @indiannavy's Guided Missile Corvette INS Kora hits the target at max range with precise accuracy in Bay of Bengal. Target ship severely damaged & in flames.

@DefenceMinIndia
@rajnathsingh
@PIB_India
https://t.co/pZHWuNDLJm
(Posted on Twitter by @PIBDehradun)",Healthcare And Medicine
3221765250875362622,,1604053806000,Jaano Rajasthan,0,State,8,-1,"पन्द्रहवीं राजस्थान विधानसभा के पंचम सत्र की पुनः बैठक 31 अक्टूबर प्रात: 11 बजे से होगी। कोविड-19 से बचाव के लिए बरती जाने वाली सावधानियों को ध्यान में रखते हुए विधान सभा में पुख्ता व्यवस्थाएं की गई हैं। इस दौरान दर्शक दीर्घा के लिए प्रवेश पत्र नहीं बनाये जायेंगे। 
(Posted on Twitter by @RajGovOfficial)",{https://pbs.twimg.com/media/Elkgak5W0AAO-nS.png},,,,-1,,0,0,en,,,,,,,,,Rajasthan,,,"'-19':18A '11':13A '31':10A 'by':54A 'jaano':56C 'on':52A 'posted':51A 'rajasthan':57C 'rajgovofficial':55A 'twitter':53A 'अक्टूबर':11A 'इस':40A 'की':7A,37A 'के':4A,21A,44A 'को':27A 'कोविड':17A 'गई':38A 'जाने':24A 'जायेंगे':50A 'दर्शक':42A 'दीर्घा':43A 'दौरान':41A 'ध्यान':28A 'नहीं':48A 'पंचम':5A 'पत्र':47A 'पन्द्रहवीं':1A 'पुख्ता':35A 'पुनः':8A 'प्रवेश':46A 'प्रात':12A 'बचाव':20A 'बजे':14A 'बनाये':49A 'बरती':23A 'बैठक':9A 'में':29A,34A 'रखते':30A 'राजस्थान':2A 'लिए':22A,45A 'वाली':25A 'विधान':32A 'विधानसभा':3A 'व्यवस्थाएं':36A 'सत्र':6A 'सभा':33A 'सावधानियों':26A 'से':15A,19A 'हुए':31A 'हैं':39A 'होगी':16A","The fifth session of the Fifteenth Rajasthan Legislative Assembly will meet again on October 31 at 11 am. Keeping in mind the precautions to be taken to protect against Kovid-19, concrete arrangements have been made in the Legislative Assembly. During this time, admission cards will not be made for the visitors' gallery.
(Posted on Twitter by @RajGovOfficial)",Healthcare And Medicine
475502246240851565,,1604053804000,Jaano Haryana,0,State,6,-1,"अन्नदाताओं के हितों के लिए निरंतर प्रयासरत हरियाणा सरकार। 

#ईमानदार_सरकार_हरियाणा_खुशहाल 
(Posted on Twitter by @cmohry)","{https://pbs.twimg.com/media/ElkgTSWU8AApMXk.jpg,https://pbs.twimg.com/media/ElkgUBMUYAE_Syk.jpg}",,,,-1,,0,0,en,,,,,,,,,Haryana,,,"'by':17A 'cmohry':18A 'haryana':20C 'jaano':19C 'on':15A 'posted':14A 'twitter':16A 'अन्नदाताओं':1A 'ईमानदार':10A 'के':2A,4A 'खुशहाल':13A 'निरंतर':6A 'प्रयासरत':7A 'लिए':5A 'सरकार':9A,11A 'हरियाणा':8A,12A 'हितों':3A","The Government of Haryana continuously strives for the interests of the providers.

# Honest_Government_Haryana_Happy
(Posted on Twitter by @cmohry)",Healthcare And Medicine
2330959132298741263,,1604053732000,Jaano Uttar Pradesh,0,State,9,-1,"कोरोना वायरस के संबंध में अपर मुख्य सचिव, सूचना श्री @navneetsehgal3 जी एवं अपर मुख्य सचिव, स्वास्थ्य की प्रेसवार्ता... https://t.co/pqkMEKV3mS
(Posted on Twitter by @UPGovt)",{},,,,-1,,0,0,en,,,,,,,,,Uttar Pradesh,,,"'/pqkmekv3ms':22A 'by':26A 'jaano':28C 'navneetsehgal3':11A 'on':24A 'posted':23A 'pradesh':30C 't.co':21A 't.co/pqkmekv3ms':20A 'twitter':25A 'upgovt':27A 'uttar':29C 'अपर':6A,14A 'एवं':13A 'की':18A 'के':3A 'कोरोना':1A 'जी':12A 'प्रेसवार्ता':19A 'मुख्य':7A,15A 'में':5A 'वायरस':2A 'श्री':10A 'संबंध':4A 'सचिव':8A,16A 'सूचना':9A 'स्वास्थ्य':17A","Information regarding Corona virus, Additional Chief Secretary, Information Mr. @ navneetsehgal3 G and Additional Chief Secretary, Health Press ... https://t.co/pqkMEKV3mS
(Posted on Twitter by @UPGovt)","Journalist, Writing And Translation"
