,postid,DateTime,timestamp,username,entity_type,PostLevel,stcode11,dtcode11,post_description,feed_pictures,feed_video,feed_news,feed_documents,experience_rating,priority,tot_agreed,tot_disagreed,Language,lat,lng,pinned,tot_comments,entity_name,entity_id,uid,profile_picture,stname,dtname,Title,tsv,title_post_text,translation,lang,preprocessed_text,ngrams,score_keywords,cosine_sim,final_score,classifier
2,3.86284E+18,,1.60441E+12,Jaano Nagaland,0,State,13,-1,".@ceonagaland  briefs media after closing of Bye-election.
@dipr_nagaland @ddnewskohima @airnews_kohima @PIBKohima 
(Posted on Twitter by @MyGovNagaland)",{https://pbs.twimg.com/media/El50hUhVoAAi5Wb.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Nagaland,,,"'after':4A 'airnews':13A 'briefs':2A 'by':19A 'bye':8A 'bye-election':7A 'ceonagaland':1A 'closing':5A 'ddnewskohima':12A 'dipr':10A 'election':9A 'jaano':21C 'kohima':14A 'media':3A 'mygovnagaland':20A 'nagaland':11A,22C 'of':6A 'on':17A 'pibkohima':15A 'posted':16A 'twitter':18A", .@ceonagaland  briefs media after closing of Bye-election. @dipr_nagaland @ddnewskohima @airnews_kohima @PIBKohima  (),.@ceonagaland  briefs media after closing of Bye-election. @dipr_nagaland @ddnewskohima @airnews_kohima @PIBKohima  (),en,"['ceonagaland', 'briefs', 'media', 'after', 'closing', 'of', 'byeelection', 'diprnagaland', 'ddnewskohima', 'airnewskohima', 'pibkohima']","['koh', 'ceo', 'dip', 'dd', 'ima', 'nagaland', 'bye election', 'news', 'briefs media', 'closing', 'air', 'pib']",1,0.395955561,0.395955561,computer phone internet
3,1.10709E+18,,1.60441E+12,Jaano Bihar,0,State,10,-1,"Petroling on river Ganga and Gandak at Sonpur
#ElectionDepartmentBihar 
(Posted on Twitter by @CEOBihar)","{https://pbs.twimg.com/media/El50CEiXYAIbv0i.jpg,https://pbs.twimg.com/media/El50DLlWoAIm9ly.jpg,https://pbs.twimg.com/media/El50DjkXEAE7eZY.jpg,https://pbs.twimg.com/media/El50DyBXUAIE1WJ.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Bihar,,,"'and':5A 'at':7A 'bihar':16C 'by':13A 'ceobihar':14A 'electiondepartmentbihar':9A 'gandak':6A 'ganga':4A 'jaano':15C 'on':2A,11A 'petroling':1A 'posted':10A 'river':3A 'sonpur':8A 'twitter':12A", Petroling on river Ganga and Gandak at Sonpur #ElectionDepartmentBihar  (),Patrolling on River Ganga and Gandak at Sonpur #AlectionDepartmentBihar (),hi,"['p', 'petroling', 'on', 'river', 'ganga', 'and', 'gandak', 'at', 'sonpur', 'electiondepartmentbihar']","['ection', 'gandak', 'river ganga', 'al', 'bihar', 'department', 'sonpur', 'patrolling']",1,0.301894862,0.301894862,fisheries and animal husbandry
4,2.97085E+18,,1.60441E+12,Jaano Uttarakhand,0,State,5,-1,"महाप्रबंधक, पूर्वोत्तर रेलवे श्री विनय कुमार त्रिपाठी ने आज सैयद मोदी रेलवे स्टेडियम, गोरखपुर का निरीक्षण किया।

इस दौरान महाप्रबंधक ने बैडमिंटन कोर्ट, स्विमिंग पूल, कुश्ती हॉल व स्टेडियम का गहन निरीक्षण किया। 
(Posted on Twitter by @nerailwaygkp)","{https://pbs.twimg.com/media/El5z5Q1VkAEJjPh.jpg,https://pbs.twimg.com/media/El5z5yKU4Aci1tC.jpg,https://pbs.twimg.com/media/El5z6UVVMAcOdiK.jpg,https://pbs.twimg.com/media/El5z6hpVMAMyI9T.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Uttarakhand,,,"'by':37A 'jaano':39C 'nerailwaygkp':38A 'on':35A 'posted':34A 'twitter':36A 'uttarakhand':40C 'आज':9A 'इस':18A 'का':15A,30A 'किया':17A,33A 'कुमार':6A 'कुश्ती':26A 'कोर्ट':23A 'गहन':31A 'गोरखपुर':14A 'त्रिपाठी':7A 'दौरान':19A 'निरीक्षण':16A,32A 'ने':8A,21A 'पूर्वोत्तर':2A 'पूल':25A 'बैडमिंटन':22A 'महाप्रबंधक':1A,20A 'मोदी':11A 'रेलवे':3A,12A 'व':28A 'विनय':5A 'श्री':4A 'सैयद':10A 'स्टेडियम':13A,29A 'स्विमिंग':24A 'हॉल':27A"," महाप्रबंधक, पूर्वोत्तर रेलवे श्री विनय कुमार त्रिपाठी ने आज सैयद मोदी रेलवे स्टेडियम, गोरखपुर का निरीक्षण किया।  इस दौरान महाप्रबंधक ने बैडमिंटन कोर्ट, स्विमिंग पूल, कुश्ती हॉल व स्टेडियम का गहन निरीक्षण किया।  ()","Shri Vinay Kumar Tripathi, General Manager, Northeast Railway inspected Syed Modi Railway Stadium, Gorakhpur today. During this, the general manager made a thorough inspection of the badminton court, swimming pool, wrestling hall and stadium. ()",hi,"['s', 'महाप्रबंधक', 'पूर्वोत्तर', 'रेलवे', 'श्री', 'विनय', 'कुमार', 'त्रिपाठी', 'ने', 'आज', 'सैयद', 'मोदी', 'स्टेडियम', 'गोरखपुर', 'का', 'निरीक्षण', 'किया।', 'इस', 'दौरान', 'बैडमिंटन', 'कोर्ट', 'स्विमिंग', 'पूल', 'कुश्ती', 'हॉल', 'व', 'गहन']","['badminton court swimming pool wrestling hall', 'general manager made', 'stadium', 'thorough inspection']",1,0.571245431,0.571245431,safety and security
5,2.24556E+17,,1.60441E+12,Jaano Nagaland,0,State,13,-1,"The Bye-Election to the 14 Southern Angami-I A/C was conducted peacefully today, 3rd November 2020 in all the polling stations.
@ceonagaland @dipr_nagaland 
(Posted on Twitter by @MyGovNagaland)",{https://pbs.twimg.com/media/El5ztEDUcAEtuTr.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Nagaland,,,"'14':7A '2020':19A '3rd':17A 'a/c':12A 'all':21A 'angami':10A 'angami-i':9A 'by':31A 'bye':3A 'bye-election':2A 'ceonagaland':25A 'conducted':14A 'dipr':26A 'election':4A 'i':11A 'in':20A 'jaano':33C 'mygovnagaland':32A 'nagaland':27A,34C 'november':18A 'on':29A 'peacefully':15A 'polling':23A 'posted':28A 'southern':8A 'stations':24A 'the':1A,6A,22A 'to':5A 'today':16A 'twitter':30A 'was':13A"," The Bye-Election to the 14 Southern Angami-I A/C was conducted peacefully today, 3rd November 2020 in all the polling stations. @ceonagaland @dipr_nagaland  ()","The Bye-Election to the 14 Southern Angami-I A/C was conducted peacefully today, 3rd November 2020 in all the polling stations. @ceonagaland @dipr_nagaland  ()",en,"['t', 'the', 'byeelection', 'to', 'southern', 'angamii', 'ac', 'was', 'conducted', 'peacefully', 'today', 'rd', 'november', 'in', 'all', 'polling', 'stations', 'ceonagaland', 'diprnagaland']","['ceo', 'dip', 'southern angami', 'nagaland', 'polling stations', 'conducted peacefully today rd november', 'bye election']",1,0.402653653,0.402653653,politics
6,2.08889E+18,,1.60441E+12,Jaano Bihar,0,State,10,-1,"समस्तीपुर में मतदाता, लोकतंत्र में अपनी भागीदारी निभाते हुए। दिव्यांग व वृद्धजनों के लिये, वोटिंग केंद्र पर विशेष सुविधाएं थीं।

#मास्क पहनकर बूथ चलेंगे, वोट करेंगे
#ElectionDepartmentBihar 
(Posted on Twitter by @CEOBihar)","{https://pbs.twimg.com/media/El5yQeUWkAEmMw8.jpg,https://pbs.twimg.com/media/El5ySm7XEAQuUOS.jpg,https://pbs.twimg.com/media/El5yUerXUAE7f_7.jpg,https://pbs.twimg.com/media/El5yVYJXgAA6T4Z.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Bihar,,,"'bihar':34C 'by':31A 'ceobihar':32A 'electiondepartmentbihar':27A 'jaano':33C 'on':29A 'posted':28A 'twitter':30A 'अपनी':6A 'करेंगे':26A 'के':13A 'केंद्र':16A 'चलेंगे':24A 'थीं':20A 'दिव्यांग':10A 'निभाते':8A 'पर':17A 'पहनकर':22A 'बूथ':23A 'भागीदारी':7A 'मतदाता':3A 'मास्क':21A 'में':2A,5A 'लिये':14A 'लोकतंत्र':4A 'व':11A 'विशेष':18A 'वृद्धजनों':12A 'वोट':25A 'वोटिंग':15A 'समस्तीपुर':1A 'सुविधाएं':19A 'हुए':9A"," समस्तीपुर में मतदाता, लोकतंत्र में अपनी भागीदारी निभाते हुए। दिव्यांग व वृद्धजनों के लिये, वोटिंग केंद्र पर विशेष सुविधाएं थीं।  #मास्क पहनकर बूथ चलेंगे, वोट करेंगे #ElectionDepartmentBihar  ()","Voters in Samastipur, playing their part in democracy. For the differently-abled and the elderly, the voting center had special facilities. # Booths will be worn wearing masks, will vote #ElectionDepartmentBihar ()",hi,"['v', 'समस्तीपुर', 'में', 'मतदाता', 'लोकतंत्र', 'अपनी', 'भागीदारी', 'निभाते', 'हुए।', 'दिव्यांग', 'व', 'वृद्धजनों', 'के', 'लिये', 'वोटिंग', 'केंद्र', 'पर', 'विशेष', 'सुविधाएं', 'थीं।', 'मास्क', 'पहनकर', 'बूथ', 'चलेंगे', 'वोट', 'करेंगे', 'electiondepartmentbihar']","['part', 'differently abled', 'special facilities booths', 'bihar', 'voters', 'elderly', 'department', 'election', 'voting center', 'samastipur playing', 'worn wearing masks', 'vote', 'democracy']",1,0.580431742,0.580431742,government works
7,3.94454E+18,,1.60441E+12,Jaano Rajasthan,0,State,8,-1,"मुख्य सचिव श्री निरंजन आर्य ने विभिन्न विभागों के प्रमुख सचिवों, सचिवों और वरिष्ठ अधिकारियों के साथ बैठक को सम्बोधित करते हुए अधिकारियों को आम जनता की शिकायतों, परिवेदनाओं की नियमित मॉनिटरिंग कर उनका तार्किक समाधान करने के निर्देश दिये हैं। 
(Posted on Twitter by @RajGovOfficial)",{https://pbs.twimg.com/media/El5yP8rXgAUi7Im.png},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Rajasthan,,,"'by':45A 'jaano':47C 'on':43A 'posted':42A 'rajasthan':48C 'rajgovofficial':46A 'twitter':44A 'अधिकारियों':15A,23A 'आम':25A 'आर्य':5A 'उनका':34A 'और':13A 'कर':33A 'करते':21A 'करने':37A 'की':27A,30A 'के':9A,16A,38A 'को':19A,24A 'जनता':26A 'तार्किक':35A 'दिये':40A 'नियमित':31A 'निरंजन':4A 'निर्देश':39A 'ने':6A 'परिवेदनाओं':29A 'प्रमुख':10A 'बैठक':18A 'मुख्य':1A 'मॉनिटरिंग':32A 'वरिष्ठ':14A 'विभागों':8A 'विभिन्न':7A 'शिकायतों':28A 'श्री':3A 'सचिव':2A 'सचिवों':11A,12A 'समाधान':36A 'सम्बोधित':20A 'साथ':17A 'हुए':22A 'हैं':41A"," मुख्य सचिव श्री निरंजन आर्य ने विभिन्न विभागों के प्रमुख सचिवों, सचिवों और वरिष्ठ अधिकारियों के साथ बैठक को सम्बोधित करते हुए अधिकारियों को आम जनता की शिकायतों, परिवेदनाओं की नियमित मॉनिटरिंग कर उनका तार्किक समाधान करने के निर्देश दिये हैं।  ()","Chief Secretary Shri Niranjan Arya while addressing a meeting with the Principal Secretaries, Secretaries and Senior Officers of various departments has instructed the officers to monitor the grievances and complaints of the general public and resolve them logically. ()",hi,"['c', 'मुख्य', 'सचिव', 'श्री', 'निरंजन', 'आर्य', 'ने', 'विभिन्न', 'विभागों', 'के', 'प्रमुख', 'सचिवों', 'और', 'वरिष्ठ', 'अधिकारियों', 'साथ', 'बैठक', 'को', 'सम्बोधित', 'करते', 'हुए', 'आम', 'जनता', 'की', 'शिकायतों', 'परिवेदनाओं', 'नियमित', 'मॉनिटरिंग', 'कर', 'उनका', 'तार्किक', 'समाधान', 'करने', 'निर्देश', 'दिये', 'हैं।']","['senior officers', 'general public', 'chief secretary shri niranjan arya', 'resolve', 'monitor', 'logically', 'officers', 'complaints', 'addressing', 'grievances', 'instructed', 'meeting', 'various departments', 'principal secretaries secretaries']",1,0.560279254,0.560279254,legal advisory
8,1.19684E+18,,1.60441E+12,Jaano Arunachal Pradesh,0,State,12,-1,"Training program on “Technical up-gradation on bamboo treatment, Storing & grading” under the #PromoteBamboo MSME clusters for #sustainabledevelopment concluded today. The project was initiated by #FMC, #SIDBI, #AideetAction partnered with  #APRBA & #SFRI
https://t.co/P5IIQ9hoPw
(Posted on Twitter by @MyGovArunachal)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Arunachal Pradesh,,,"'/p5iiq9hopw':36A 'aideetaction':29A 'aprba':32A 'arunachal':43C 'bamboo':9A 'by':26A,40A 'clusters':17A 'concluded':20A 'fmc':27A 'for':18A 'gradation':7A 'grading':12A 'initiated':25A 'jaano':42C 'msme':16A 'mygovarunachal':41A 'on':3A,8A,38A 'partnered':30A 'posted':37A 'pradesh':44C 'program':2A 'project':23A 'promotebamboo':15A 'sfri':33A 'sidbi':28A 'storing':11A 'sustainabledevelopment':19A 't.co':35A 't.co/p5iiq9hopw':34A 'technical':4A 'the':14A,22A 'today':21A 'training':1A 'treatment':10A 'twitter':39A 'under':13A 'up':6A 'up-gradation':5A 'was':24A 'with':31A"," Training program on “Technical up-gradation on bamboo treatment, Storing & grading” under the #PromoteBamboo MSME clusters for #sustainabledevelopment concluded today. The project was initiated by #FMC, #SIDBI, #AideetAction partnered with  #APRBA & #SFRI  ()","Training program on “Technical up-gradation on bamboo treatment, Storing & grading” under the #PromoteBamboo MSME clusters for #sustainabledevelopment concluded today. The project was initiated by #FMC, #SIDBI, #AideetAction partnered with  #APRBA & #SFRI  ()",en,"['t', 'training', 'program', 'on', '“technical', 'upgradation', 'bamboo', 'treatment', 'storing', 'grading”', 'under', 'the', 'promotebamboo', 'msme', 'clusters', 'for', 'sustainabledevelopment', 'concluded', 'today', 'project', 'was', 'initiated', 'by', 'fmc', 'sidbi', 'aideetaction', 'partnered', 'with', 'aprba', 'sfri']","['sustainable', 'development', 'training program', 'promote', 'aid', 'project', 'themsme clusters forconcluded today', 'eet', 'bamboo treatment storing grading', 'fmc sidbi partnered', 'gradation', 'bamboo', 'action', 'apr', 'technical', 'ba', 'initiated', 'sfr']",1,0.5831159,0.5831159,education and skill development
9,3.06145E+18,,1.60441E+12,Jaano Chhattisgarh,0,State,22,-1,"शाम 6:00 बजे तक विधानसभा क्षेत्र मरवाही है उप निर्वाचन के अंतर्गत 
77% हुआ है मतदान।
(Posted on Twitter by @CEOChhattisgarh)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chhattisgarh,,,"'00':3A '6':2A '77':14A 'by':21A 'ceochhattisgarh':22A 'chhattisgarh':24C 'jaano':23C 'on':19A 'posted':18A 'twitter':20A 'अंतर्गत':13A 'उप':10A 'के':12A 'क्षेत्र':7A 'तक':5A 'निर्वाचन':11A 'बजे':4A 'मतदान':17A 'मरवाही':8A 'विधानसभा':6A 'शाम':1A 'हुआ':15A 'है':9A,16A", शाम 6:00 बजे तक विधानसभा क्षेत्र मरवाही है उप निर्वाचन के अंतर्गत  77% हुआ है मतदान। (),"By 6:00 pm, Vidhan Sabha constituency is Marwahi, 77% voting has been done under the bye-election. ()",hi,"['b', 'शाम', 'बजे', 'तक', 'विधानसभा', 'क्षेत्र', 'मरवाही', 'है', 'उप', 'निर्वाचन', 'के', 'अंतर्गत', 'हुआ', 'मतदान।']","['marwahi voting', 'pm vidhan sabha constituency', 'bye election', 'done']",1,0.285444373,0.285444373,politics
10,3.14305E+17,,1.60441E+12,Jaano Haryana,0,State,6,-1,"हरियाणा सरकार @mlkhattar ने हिसार जिला में किसानों को खरीफ 2019, रबी 2019-20 और रबी 2020 सीजन के दौरान ओलावृष्टि और भारी बारिश के कारण फसलों को हुए नुकसान के मुआवजे का भुगतान करने के लिए 49.87 करोड़ रुपये की मंजूरी दे दी है।
@cmohry
(Posted on Twitter by @DiprHaryana)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Haryana,,,"'-20':14A '2019':11A,13A '2020':17A '49.87':38A 'by':50A 'cmohry':46A 'diprharyana':51A 'haryana':53C 'jaano':52C 'mlkhattar':3A 'on':48A 'posted':47A 'twitter':49A 'ओलावृष्टि':21A 'और':15A,22A 'करने':35A 'करोड़':39A 'का':33A 'कारण':26A 'किसानों':8A 'की':41A 'के':19A,25A,31A,36A 'को':9A,28A 'खरीफ':10A 'जिला':6A 'दी':44A 'दे':43A 'दौरान':20A 'नुकसान':30A 'ने':4A 'फसलों':27A 'बारिश':24A 'भारी':23A 'भुगतान':34A 'मंजूरी':42A 'मुआवजे':32A 'में':7A 'रबी':12A,16A 'रुपये':40A 'लिए':37A 'सरकार':2A 'सीजन':18A 'हरियाणा':1A 'हिसार':5A 'हुए':29A 'है':45A"," हरियाणा सरकार @mlkhattar ने हिसार जिला में किसानों को खरीफ 2019, रबी 2019-20 और रबी 2020 सीजन के दौरान ओलावृष्टि और भारी बारिश के कारण फसलों को हुए नुकसान के मुआवजे का भुगतान करने के लिए 49.87 करोड़ रुपये की मंजूरी दे दी है। @cmohry ()","Government of Haryana @mlkhattar has approved Rs 49.87 crore to farmers in Hisar district to pay compensation for the damage done to crops due to hailstorms and heavy rains during the Kharif 2019, Rabi 2019-20 and Rabi 2020 seasons. @cmohry ()",hi,"['g', 'हरियाणा', 'सरकार', 'mlkhattar', 'ने', 'हिसार', 'जिला', 'में', 'किसानों', 'को', 'खरीफ', 'रबी', 'और', 'सीजन', 'के', 'दौरान', 'ओलावृष्टि', 'भारी', 'बारिश', 'कारण', 'फसलों', 'हुए', 'नुकसान', 'मुआवजे', 'का', 'भुगतान', 'करने', 'लिए', 'करोड़', 'रुपये', 'की', 'मंजूरी', 'दे', 'दी', 'है।', 'cmohry']","['hailstorms', 'damage done', 'rabi seasons', 'crops due', 'mlk', 'hat', 'mohr', 'heavy rains', 'farmers', 'tar', 'pay compensation', 'approved rs crore', 'kharif rabi', 'government', 'hisar district', 'haryana']",1,0.327853679,0.327853679,agriculture and farming
13,1.28778E+18,,1.60441E+12,Jaano Chhattisgarh,0,State,22,-1,"भारत निर्वाचन आयोग के मार्गदर्शी बिंदुओं और कोरोना प्रोटोकॉल के सुरक्षा मानकों को दृष्टिगत रखते हुए मतदान के अंतिम घंटे में मरवाही विधानसभा क्षेत्र में कोविड-19 पॉजिटिव मतदाताओं ने पूरी सुरक्षा के साथ पहुंचकर सुरक्षित मतदान किया।
झलकियां
@SpokespersonECI @ECISVEEP 
(Posted on Twitter by @CEOChhattisgarh)","{https://pbs.twimg.com/media/El5wMMIXIAMFLZF.jpg,https://pbs.twimg.com/media/El5wMhhWMAEeXYu.jpg,https://pbs.twimg.com/media/El5wNJIXUAULWfK.jpg,https://pbs.twimg.com/media/El5wNl9XUAAveen.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chhattisgarh,,,"'-19':27A 'by':45A 'ceochhattisgarh':46A 'chhattisgarh':48C 'ecisveep':41A 'jaano':47C 'on':43A 'posted':42A 'spokespersoneci':40A 'twitter':44A 'अंतिम':19A 'आयोग':3A 'और':7A 'किया':38A 'के':4A,10A,18A,33A 'को':13A 'कोरोना':8A 'कोविड':26A 'क्षेत्र':24A 'घंटे':20A 'झलकियां':39A 'दृष्टिगत':14A 'निर्वाचन':2A 'ने':30A 'पहुंचकर':35A 'पूरी':31A 'पॉजिटिव':28A 'प्रोटोकॉल':9A 'बिंदुओं':6A 'भारत':1A 'मतदाताओं':29A 'मतदान':17A,37A 'मरवाही':22A 'मानकों':12A 'मार्गदर्शी':5A 'में':21A,25A 'रखते':15A 'विधानसभा':23A 'साथ':34A 'सुरक्षा':11A,32A 'सुरक्षित':36A 'हुए':16A", भारत निर्वाचन आयोग के मार्गदर्शी बिंदुओं और कोरोना प्रोटोकॉल के सुरक्षा मानकों को दृष्टिगत रखते हुए मतदान के अंतिम घंटे में मरवाही विधानसभा क्षेत्र में कोविड-19 पॉजिटिव मतदाताओं ने पूरी सुरक्षा के साथ पहुंचकर सुरक्षित मतदान किया। झलकियां @SpokespersonECI @ECISVEEP  (),"Keeping in view the guidelines of the Election Commission of India and the safety standards of the Corona Protocol, Kovid-19 positive voters arrived in Marwahi Assembly constituency in the last hour of polling safely and polled safely. Highlights @SpokespersonECI @ECISVEEP ()",hi,"['k', 'भारत', 'निर्वाचन', 'आयोग', 'के', 'मार्गदर्शी', 'बिंदुओं', 'और', 'कोरोना', 'प्रोटोकॉल', 'सुरक्षा', 'मानकों', 'को', 'दृष्टिगत', 'रखते', 'हुए', 'मतदान', 'अंतिम', 'घंटे', 'में', 'मरवाही', 'विधानसभा', 'क्षेत्र', 'कोविड', 'पॉजिटिव', 'मतदाताओं', 'ने', 'पूरी', 'साथ', 'पहुंचकर', 'सुरक्षित', 'किया।', 'झलकियां', 'spokespersoneci', 'ecisveep']","['safety standards', 'india', 'cis', 'view', 'vee', 'polling safely', 'eci', 'last hour', 'guidelines', 'election commission', 'keeping', 'corona protocol kovid positive voters arrived', 'spokesperson', 'marwahi assembly constituency', 'polled safely highlights']",1,0.660099928,0.660099928,safety and security
